original_SR Number,original_Address,original_RequestDate,original_Field 4,original_Num Trees,original_House Number,original_Street,original_City,original_State,original_Full Address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
SR23-02093446,2859 S KEELEY,12/4/2023," 9:08:45 AM",,2859," S KEELEY",Chicago,IL,"2859  S KEELEY, Chicago , IL",41.841479,-87.654044,"2859 South Keeley Street, Chicago, IL 60608, United States of America",,2859,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093512,2857 S KEELEY,12/4/2023," 9:08:45 AM",,2857," S KEELEY",Chicago,IL,"2857  S KEELEY, Chicago , IL",41.841537,-87.654092,"2857 South Keeley Street, Chicago, IL 60608, United States of America",,2857,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093525,2855 S KEELEY,12/4/2023," 9:08:45 AM",,2855," S KEELEY",Chicago,IL,"2855  S KEELEY, Chicago , IL",41.841589,-87.654152,"2855 South Keeley Street, Chicago, IL 60608, United States of America",,2855,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093714,2851 S KEELEY,12/4/2023," 9:08:45 AM",,2851," S KEELEY",Chicago,IL,"2851  S KEELEY, Chicago , IL",41.841645,-87.654206,"2851 South Keeley Street, Chicago, IL 60608, United States of America",,2851,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093717,2849 S KEELEY,12/4/2023," 9:08:45 AM",,2849," S KEELEY",Chicago,IL,"2849  S KEELEY, Chicago , IL",41.841702,-87.654241,"2849 South Keeley Street, Chicago, IL 60608, United States of America",,2849,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093766,2847 S KEELEY,12/4/2023," 9:08:45 AM",,2847," S KEELEY",Chicago,IL,"2847  S KEELEY, Chicago , IL",41.841759,-87.654292,"2847 South Keeley Street, Chicago, IL 60608, United States of America",,2847,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093768,2845 S KEELEY,12/4/2023," 9:08:45 AM",,2845," S KEELEY",Chicago,IL,"2845  S KEELEY, Chicago , IL",41.841816,-87.654343,"2845 South Keeley Street, Chicago, IL 60608, United States of America",,2845,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093815,2837 S KEELEY,12/4/2023," 9:08:45 AM",,2837," S KEELEY",Chicago,IL,"2837  S KEELEY, Chicago , IL",41.841992,-87.654515,"2837 South Keeley Street, Chicago, IL 60608, United States of America",,2837,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093818,2835 S KEELEY,12/4/2023," 9:08:45 AM",,2835," S KEELEY",Chicago,IL,"2835  S KEELEY, Chicago , IL",41.842047,-87.65455,"2835 South Keeley Street, Chicago, IL 60608, United States of America",,2835,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093820,2833 S KEELEY,12/4/2023," 9:08:45 AM",,2833," S KEELEY",Chicago,IL,"2833  S KEELEY, Chicago , IL",41.842094,-87.65459,"2833 South Keeley Street, Chicago, IL 60608, United States of America",,2833,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093823,2831 S KEELEY,12/4/2023," 9:08:45 AM",,2831," S KEELEY",Chicago,IL,"2831  S KEELEY, Chicago , IL",41.842132,-87.654641,"2831 South Keeley Street, Chicago, IL 60608, United States of America",,2831,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093829,2829 S KEELEY,12/4/2023," 9:08:45 AM",,2829," S KEELEY",Chicago,IL,"2829  S KEELEY, Chicago , IL",41.842182,-87.654667,"2829 South Keeley Street, Chicago, IL 60608, United States of America",,2829,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093830,2827 S KEELEY,12/4/2023," 9:08:45 AM",,2827," S KEELEY",Chicago,IL,"2827  S KEELEY, Chicago , IL",41.842225,-87.654727,"2827 South Keeley Street, Chicago, IL 60608, United States of America",,2827,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093836,2825 S KEELEY,12/4/2023," 9:08:45 AM",,2825," S KEELEY",Chicago,IL,"2825  S KEELEY, Chicago , IL",41.842267,-87.654765,"2825 South Keeley Street, Chicago, IL 60608, United States of America",,2825,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093849,2823 S KEELEY,12/4/2023," 9:08:45 AM",,2823," S KEELEY",Chicago,IL,"2823  S KEELEY, Chicago , IL",41.842319,-87.654805,"2823 South Keeley Street, Chicago, IL 60608, United States of America",,2823,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093855,2815 S KEELEY,12/4/2023," 9:08:45 AM",,2815," S KEELEY",Chicago,IL,"2815  S KEELEY, Chicago , IL",41.842528,-87.65499,"2815 South Keeley Street, Chicago, IL 60608, United States of America",,2815,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093958,2814 S KEELEY,12/4/2023," 9:15:45 AM",,2814," S KEELEY",Chicago,IL,"2814  S KEELEY, Chicago , IL",41.842317,-87.655346,"2814 South Keeley Street, Chicago, IL 60608, United States of America",,2814,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094064,2826 S KEELEY,12/4/2023," 9:25:48 AM",,2826," S KEELEY",Chicago,IL,"2826  S KEELEY, Chicago , IL",41.84202,-87.655062,"2826 South Keeley Street, Chicago, IL 60608, United States of America",,2826,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094067,2822 S KEELEY,12/4/2023," 9:26:02 AM",,2822," S KEELEY",Chicago,IL,"2822  S KEELEY, Chicago , IL",41.842142,-87.655123,"2822 South Keeley Street, Chicago, IL 60608, United States of America",,2822,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094071,2830 S KEELEY,12/4/2023," 9:26:19 AM",,2830," S KEELEY",Chicago,IL,"2830  S KEELEY, Chicago , IL",41.841973,-87.654995,"2830 South Keeley Street, Chicago, IL 60608, United States of America",,2830,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094076,2832 S KEELEY,12/4/2023," 9:26:33 AM",,2832," S KEELEY",Chicago,IL,"2832  S KEELEY, Chicago , IL",41.841916,-87.65495,"2832 South Keeley Street, Chicago, IL 60608, United States of America",,2832,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094078,2834 S KEELEY,12/4/2023," 9:26:47 AM",,2834," S KEELEY",Chicago,IL,"2834  S KEELEY, Chicago , IL",41.841857,-87.6549,"2834 South Keeley Street, Chicago, IL 60608, United States of America",,2834,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094082,2836 S KEELEY,12/4/2023," 9:27:01 AM",,2836," S KEELEY",Chicago,IL,"2836  S KEELEY, Chicago , IL",41.841787,-87.654887,"2836 South Keeley Street, Chicago, IL 60608, United States of America",,2836,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094086,2838 S KEELEY,12/4/2023," 9:27:16 AM",,2838," S KEELEY",Chicago,IL,"2838  S KEELEY, Chicago , IL",41.841756,-87.654787,"2838 South Keeley Street, Chicago, IL 60608, United States of America",,2838,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094092,2840 S KEELEY,12/4/2023," 9:27:31 AM",,2840," S KEELEY",Chicago,IL,"2840  S KEELEY, Chicago , IL",41.841692,-87.654756,"2840 South Keeley Street, Chicago, IL 60608, United States of America",,2840,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094095,2842 S KEELEY,12/4/2023," 9:27:45 AM",,2842," S KEELEY",Chicago,IL,"2842  S KEELEY, Chicago , IL",41.8419013,-87.6544026,"2842 South Keeley Street, Chicago, IL, United States of America",,2842,South Keeley Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SR23-02094099,2844 S KEELEY,12/4/2023," 9:27:59 AM",,2844," S KEELEY",Chicago,IL,"2844  S KEELEY, Chicago , IL",41.841624,-87.654734,"2844 South Keeley Street, Chicago, IL 60608, United States of America",,2844,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094101,2846 S KEELEY,12/4/2023," 9:28:15 AM",,2846," S KEELEY",Chicago,IL,"2846  S KEELEY, Chicago , IL",41.841578,-87.654663,"2846 South Keeley Street, Chicago, IL 60608, United States of America",,2846,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
